occupationUri,occupationLabel,relationType,skillType,skillUri,skillLabel
http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,hospitality revenue manager,essential,skill/competence,http://data.europa.eu/esco/skill/be20d05c-f6b4-4580-9fcf-f00f4baab562,make data-driven decisions
http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,hospitality revenue manager,essential,skill/competence,http://data.europa.eu/esco/skill/c1eb6a1a-e830-482a-8f13-f5c2f5b11b5d,manage hospitality revenue
http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,hospitality revenue manager,essential,skill/competence,http://data.europa.eu/esco/skill/cc3b901c-4d66-48f8-90b9-41883be1e1ed,plan medium to long term objectives
http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,hospitality revenue manager,essential,skill/competence,http://data.europa.eu/esco/skill/fe39d4db-4cb5-4299-bb9f-896c8fd6ab13,perform market research
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,essential,knowledge,http://data.europa.eu/esco/skill/2be699a7-416a-4f32-967c-4edc65027b71,government policy implementation
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,essential,knowledge,http://data.europa.eu/esco/skill/6f6163dc-a801-416c-86e9-ce857d71c24d,real estate market
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,essential,knowledge,http://data.europa.eu/esco/skill/f5f72523-3e48-47ae-825b-fa49a33cd94b,public housing legislation
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,essential,skill/competence,http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,influence public policies
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,essential,skill/competence,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,create solutions to problems
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,essential,skill/competence,http://data.europa.eu/esco/skill/1b7d5366-516a-4e3a-8ff0-e3f7973c00a7,monitor regulations in social services
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,essential,skill/competence,http://data.europa.eu/esco/skill/3e679f1c-e515-4f1b-82b3-2a7e848183a5,advise on drafting policies
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,essential,skill/competence,http://data.europa.eu/esco/skill/4ac715f8-7c4e-4e78-a96d-2398b8bdc49d,plan public housing
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,essential,skill/competence,http://data.europa.eu/esco/skill/6e5b66f0-ff0b-4d18-bce5-ffcd2e7de127,analyse legislation
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,essential,skill/competence,http://data.europa.eu/esco/skill/8bad61b8-75f7-4bdc-b994-f7158f4b90f0,set organisational policies
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,essential,skill/competence,http://data.europa.eu/esco/skill/bab46a75-0a6c-44cc-b7e7-28c7c55d801f,compare property values
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,essential,skill/competence,http://data.europa.eu/esco/skill/dbdd03ec-f64f-4916-8a86-cc71d765cc20,advise on legislative acts
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,essential,skill/competence,http://data.europa.eu/esco/skill/f78d5c04-a440-4068-90c2-fab03409a911,manage government policy implementation
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,essential,skill/competence,http://data.europa.eu/esco/skill/f914df1a-c9fd-47ab-b1ec-bc7c6f572640,influence policy makers on social service issues
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,essential,knowledge,http://data.europa.eu/esco/skill/08591546-e9bc-47fc-97b3-8663b3713a5f,clinical reports
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,essential,knowledge,http://data.europa.eu/esco/skill/53d45a18-6c15-4c50-821c-d116ae0611ec,medical studies
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,essential,knowledge,http://data.europa.eu/esco/skill/6c252ea9-e7df-4f82-8035-7d7ee742ff0e,multi-professional cooperation in health care
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,essential,knowledge,http://data.europa.eu/esco/skill/9a7cc3c2-b529-44a4-ab8e-f04fc91362e2,professional documentation in health care
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,essential,knowledge,http://data.europa.eu/esco/skill/b21e2984-c6b2-4352-bbe8-8f3b03bd50f6,medical informatics
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,essential,knowledge,http://data.europa.eu/esco/skill/f6a90f59-5a07-4088-b318-e486a42ca58c,evidence-based approach in general practice
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,essential,skill/competence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,draft scientific or academic papers and technical documentation
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,essential,skill/competence,http://data.europa.eu/esco/skill/0e1fe34b-f4e7-4642-8c8b-5a05ac3438e5,manage schedule of tasks
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,essential,skill/competence,http://data.europa.eu/esco/skill/99fc129e-360c-4174-9553-5c666a64a395,prepare scientific reports
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,essential,skill/competence,http://data.europa.eu/esco/skill/afdee309-07f9-464e-ad3b-29f4e539da88,conduct health related research
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,essential,skill/competence,http://data.europa.eu/esco/skill/b30b6e13-6688-4035-b99b-fb3a1def0833,archive scientific documentation
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,essential,skill/competence,http://data.europa.eu/esco/skill/be40c4c3-a855-4d67-9ca5-6f4428c34b0d,provide written content
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,essential,skill/competence,http://data.europa.eu/esco/skill/c3c2420c-ce9a-4371-8eed-1db479c3a562,write scientific publications
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,essential,skill/competence,http://data.europa.eu/esco/skill/d05d0dc5-95f6-4287-8884-f54fcfea5178,report the results of treatment
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,essential,skill/competence,http://data.europa.eu/esco/skill/e83ec793-3fbc-42e0-9729-d4bd92d454b3,draw up professional texts
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,essential,skill/competence,http://data.europa.eu/esco/skill/eba85523-6ad2-4cd9-9b27-a0b6a39b8cfa,work in multidisciplinary health teams
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,ICT safety
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,knowledge,http://data.europa.eu/esco/skill/0ffdb6ac-03b5-4f1c-bfcc-3d9cb874fdf9,ethical hacking principles
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,knowledge,http://data.europa.eu/esco/skill/2ddb1226-1117-4eb4-ae65-3a2f5a5a3c80,ICT network security risks
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,knowledge,http://data.europa.eu/esco/skill/47ca0da1-cae5-4395-ae6b-fd97b9ff48d3,system backup best practice
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,knowledge,http://data.europa.eu/esco/skill/5063a99f-975b-4a7c-85e3-69ecb375b4d3,internet governance
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,knowledge,http://data.europa.eu/esco/skill/5898d99a-62a4-4e10-a2e3-0d815ce44248,cyber attack counter-measures
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,knowledge,http://data.europa.eu/esco/skill/6f1edc19-191f-4ba5-a048-ee69aff05bab,security engineering
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,knowledge,http://data.europa.eu/esco/skill/79f24a62-7718-46e1-9b41-37be0560a5ca,organisational resilience
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,knowledge,http://data.europa.eu/esco/skill/9ef0f3a0-9ce2-4ef1-a987-0366b5cb2dbe,database development tools
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,knowledge,http://data.europa.eu/esco/skill/c7cc6dc5-d56b-4323-8e5c-47c4022f615f,quality assurance methodologies
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,knowledge,http://data.europa.eu/esco/skill/cf532795-a1fd-43bd-8407-6e43f877e6e3,mobile device management
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,knowledge,http://data.europa.eu/esco/skill/d78dedfc-21d2-45fd-ba05-e56b7a8865e6,network standards
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,knowledge,http://data.europa.eu/esco/skill/f049d050-12da-4e40-813a-2b5eb6df6b51,Internet of Things
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,knowledge,http://data.europa.eu/esco/skill/f9a6f35b-01a7-40c9-8b61-b6ee46f97272,operating systems
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,skill/competence,http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,manage IT security compliances
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,skill/competence,http://data.europa.eu/esco/skill/0a43729f-2a79-4dae-9faa-95520daae79f,apply company policies
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,skill/competence,http://data.europa.eu/esco/skill/4d85b881-e490-4b4c-897a-2faa4ef53956,manage ICT data architecture
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,skill/competence,http://data.europa.eu/esco/skill/744442ac-c157-4350-8be0-ce454df4f5c5,perform ICT troubleshooting
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,skill/competence,http://data.europa.eu/esco/skill/7f0b1a66-ebaf-4c8a-b606-4c1844eb692e,attend to ICT systems quality
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,skill/competence,http://data.europa.eu/esco/skill/85c11255-469f-41bd-a6d1-382bc4a87783,interpret technical texts
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,skill/competence,http://data.europa.eu/esco/skill/9e06bac6-6b91-48ca-8b7d-c1f48cdecd7c,solve ICT system problems
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,skill/competence,http://data.europa.eu/esco/skill/ab49f767-296b-47d5-af56-0b4a69515b03,maintain ICT identity management
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,skill/competence,http://data.europa.eu/esco/skill/c241f5a5-e23f-47bf-ad24-d83ea0010166,ensure proper document management
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,skill/competence,http://data.europa.eu/esco/skill/dad7e408-162f-46a4-8567-db560e19e2fc,identify ICT system weaknesses
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,essential,skill/competence,http://data.europa.eu/esco/skill/ec85cc63-4e24-4631-bf92-8789db2605c0,maintain database security
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,knowledge,http://data.europa.eu/esco/skill/0ee94c0a-3716-494a-95a2-dcbab9e58be2,business requirements techniques
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,knowledge,http://data.europa.eu/esco/skill/2450c3b3-e78e-435b-b84d-e05d984e71dc,software architecture models
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,knowledge,http://data.europa.eu/esco/skill/8ff015a0-98ea-4d80-a23e-1f68110a919e,software design methodologies
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,knowledge,http://data.europa.eu/esco/skill/a846cb9e-c152-41e7-bd34-45e7ff941e3b,legal requirements of ICT products
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,knowledge,http://data.europa.eu/esco/skill/ca73ac82-867a-4afa-9732-834aebe896ff,ICT system user requirements
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,knowledge,http://data.europa.eu/esco/skill/fecf8a0d-62c4-4e71-9b03-0f4fc2ad7bf5,data models
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,skill/competence,http://data.europa.eu/esco/skill/2d6d4784-0992-48e7-b100-22d7229b3f0a,translate requirements into visual design
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,skill/competence,http://data.europa.eu/esco/skill/3bddfd7c-ab6d-40c2-883d-5e97fb7640ba,create software design
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,skill/competence,http://data.europa.eu/esco/skill/56042303-972b-41be-9310-58467599ff7e,analyse business processes
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,skill/competence,http://data.europa.eu/esco/skill/695c3249-18e7-4435-bdb8-54a16011159d,develop documentation in accordance with legal requirements
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,skill/competence,http://data.europa.eu/esco/skill/797a4416-0b8d-44f3-8fcd-eb10bd0be6b4,develop software prototype
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,skill/competence,http://data.europa.eu/esco/skill/861313ba-3a1a-4d33-842a-1b8e45e2415b,manage ICT legacy implication
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,skill/competence,http://data.europa.eu/esco/skill/a47d194d-0ffd-4aaa-b695-fbbe0255000e,design information system
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,skill/competence,http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363,interact with users to gather requirements
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,skill/competence,http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702,execute feasibility study
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,skill/competence,http://data.europa.eu/esco/skill/d9e5349e-8791-49c2-8ba4-839fdd1606c2,define technical requirements
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,skill/competence,http://data.europa.eu/esco/skill/ddfe79e2-c2e3-4ba7-9bdf-3820b4f75b54,identify ICT user needs
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,skill/competence,http://data.europa.eu/esco/skill/f7e2eb04-3e50-4561-bce1-7e51a1fec308,define software architecture
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,essential,skill/competence,http://data.europa.eu/esco/skill/fbafa41f-cd05-4109-a649-8b44d306d779,create data models
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,essential,knowledge,http://data.europa.eu/esco/skill/3bc08c26-2f98-4730-bbb6-ec4a8566e3cf,procurement lifecycle
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,essential,knowledge,http://data.europa.eu/esco/skill/d9a9cb71-a62e-4800-a518-cfb61f8b15cd,category specific expertise
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,essential,knowledge,http://data.europa.eu/esco/skill/fe1ec582-d63b-466c-9149-e7fc4fe93e22,supplier management
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,essential,skill/competence,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e,monitor developments in field of expertise
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,essential,skill/competence,http://data.europa.eu/esco/skill/305dc408-68a6-4f63-9ee6-d0b26c8abad0,develop performance orientation in public administration
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,essential,skill/competence,http://data.europa.eu/esco/skill/31599ac3-e03c-42f8-8f08-b549af8234f2,draft procurement technical specifications
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,essential,skill/competence,http://data.europa.eu/esco/skill/3cd35f5d-ce6d-4f14-9a09-53d7a28d834c,maintain relationship with suppliers
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,essential,skill/competence,http://data.europa.eu/esco/skill/5592ab32-4e7a-4cda-8e64-ca36d5de8a10,adapt to changing situations
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,essential,skill/competence,http://data.europa.eu/esco/skill/6962058d-9808-4820-a6bc-d7cabce60cde,implement sustainable procurement
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,essential,skill/competence,http://data.europa.eu/esco/skill/6c97d04d-7239-4dc7-90ef-3e812ba2b124,perform procurement market analysis
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,essential,skill/competence,http://data.europa.eu/esco/skill/6dd4ce8c-1813-429d-9f06-3382c4833ca3,assess procurement needs
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,essential,skill/competence,http://data.europa.eu/esco/skill/92721092-fe7c-4689-96bd-4f02385bc0e7,manage contracts
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,essential,skill/competence,http://data.europa.eu/esco/skill/9bbe0d37-822c-4096-8b56-8729e5783b4b,implement procurement of innovation
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,essential,skill/competence,http://data.europa.eu/esco/skill/a9dc9e40-14a6-4899-93ec-29d5c79c2ebd,manage procurement planning
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,essential,skill/competence,http://data.europa.eu/esco/skill/b9f16465-56a9-426b-a047-0f9f1f95ec92,address problems critically
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,essential,skill/competence,http://data.europa.eu/esco/skill/f698f8df-b473-40aa-a5c9-033cd892467a,keep up-to-date with regulations
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,essential,knowledge,http://data.europa.eu/esco/skill/03f922b0-d518-457d-8f2c-80252a714be1,criminology
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,essential,knowledge,http://data.europa.eu/esco/skill/18591ccc-3c25-43eb-871a-b0fefeee3b93,forensic psychiatry
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,essential,knowledge,http://data.europa.eu/esco/skill/4339176e-3acd-4f7f-a5d9-445bee3d23f2,mathematics
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,essential,knowledge,http://data.europa.eu/esco/skill/7159e587-c7cb-4ec0-a662-03e1dee2cccb,research design
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,essential,knowledge,http://data.europa.eu/esco/skill/74e49482-75e8-4637-bdb1-fff868d02f7a,scientific literature
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,essential,knowledge,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833,statistics
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,essential,knowledge,http://data.europa.eu/esco/skill/8836a5a5-e2ff-4baf-aae3-bfb78a4cca7f,criminal law
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,essential,knowledge,http://data.europa.eu/esco/skill/8881a9c2-bd07-4954-bf27-c1f8acca9af0,sociology
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,essential,knowledge,http://data.europa.eu/esco/skill/bfe4f330-d595-48c7-ab3c-f309471d6953,psychology
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,essential,knowledge,http://data.europa.eu/esco/skill/c2aacac0-5a16-4493-b769-e7c052916d39,anthropology
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,essential,knowledge,http://data.europa.eu/esco/skill/ed3f3dba-3a35-4ed5-b113-67f4d10ef4c8,scientific research methodology
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,essential,skill/competence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,draft scientific or academic papers and technical documentation
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,essential,skill/competence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,manage research data
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,essential,skill/competence,http://data.europa.eu/esco/skill/1b70a55d-b8a4-49fc-96c6-15ab4cff2522,use data processing techniques
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,essential,skill/competence,http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,interact professionally in research and professional environments
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,essential,skill/competence,http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1,disseminate results to the scientific community
